Term,Date,Value
AI workforce development,5/1/2018,0
AI workforce development,6/1/2018,0
AI workforce development,7/1/2018,0
AI workforce development,8/1/2018,0
AI workforce development,9/1/2018,0
AI workforce development,10/1/2018,0
AI workforce development,11/1/2018,0
AI workforce development,12/1/2018,0
AI workforce development,1/1/2019,0
AI workforce development,2/1/2019,0
AI workforce development,3/1/2019,0
AI workforce development,4/1/2019,0
AI workforce development,5/1/2019,0
AI workforce development,6/1/2019,0
AI workforce development,7/1/2019,0
AI workforce development,8/1/2019,0
AI workforce development,9/1/2019,0
AI workforce development,10/1/2019,0
AI workforce development,11/1/2019,0
AI workforce development,12/1/2019,0
AI workforce development,1/1/2020,0
AI workforce development,2/1/2020,0
AI workforce development,3/1/2020,0
AI workforce development,4/1/2020,0
AI workforce development,5/1/2020,0
AI workforce development,6/1/2020,0
AI workforce development,7/1/2020,0
AI workforce development,8/1/2020,0
AI workforce development,9/1/2020,0
AI workforce development,10/1/2020,0
AI workforce development,11/1/2020,0
AI workforce development,12/1/2020,0
AI workforce development,1/1/2021,0
AI workforce development,2/1/2021,0
AI workforce development,3/1/2021,0
AI workforce development,4/1/2021,0
AI workforce development,5/1/2021,0
AI workforce development,6/1/2021,0
AI workforce development,7/1/2021,0
AI workforce development,8/1/2021,0
AI workforce development,9/1/2021,0
AI workforce development,10/1/2021,0
AI workforce development,11/1/2021,0
AI workforce development,12/1/2021,0
AI workforce development,1/1/2022,0.49803696368350814
AI workforce development,2/1/2022,0
AI workforce development,3/1/2022,0
AI workforce development,4/1/2022,0
AI workforce development,5/1/2022,0
AI workforce development,6/1/2022,0
AI workforce development,7/1/2022,0
AI workforce development,8/1/2022,0
AI workforce development,9/1/2022,0
AI workforce development,10/1/2022,0
AI workforce development,11/1/2022,0
AI workforce development,12/1/2022,0
AI workforce development,1/1/2023,0
AI workforce development,2/1/2023,0
AI workforce development,3/1/2023,0
AI workforce development,4/1/2023,0
AI workforce development,5/1/2023,0
AI workforce development,6/1/2023,0
AI workforce development,7/1/2023,0
AI workforce development,8/1/2023,0
AI workforce development,9/1/2023,0
AI workforce development,10/1/2023,0
AI workforce development,11/1/2023,0
AI workforce development,12/1/2023,0.3097669870518669
AI workforce development,1/1/2024,0
AI workforce development,2/1/2024,0
AI workforce development,3/1/2024,0
AI workforce development,4/1/2024,0.4597077509756536
AI workforce development,5/1/2024,0.3652587080558247
AI workforce development,6/1/2024,0.6354373025438864
AI workforce development,7/1/2024,0
AI workforce development,8/1/2024,0.12081443474854069
Digital inclusion initiatives,1/1/2010,0
Digital inclusion initiatives,2/1/2010,0
Digital inclusion initiatives,3/1/2010,0
Digital inclusion initiatives,4/1/2010,0
Digital inclusion initiatives,5/1/2010,0
Digital inclusion initiatives,6/1/2010,0
Digital inclusion initiatives,7/1/2010,0
Digital inclusion initiatives,8/1/2010,0
Digital inclusion initiatives,9/1/2010,0
Digital inclusion initiatives,10/1/2010,0
Digital inclusion initiatives,11/1/2010,0
Digital inclusion initiatives,12/1/2010,0
Digital inclusion initiatives,1/1/2011,0
Digital inclusion initiatives,2/1/2011,0
Digital inclusion initiatives,3/1/2011,0
Digital inclusion initiatives,4/1/2011,0
Digital inclusion initiatives,5/1/2011,0
Digital inclusion initiatives,6/1/2011,0
